,title,view_count,like_count,duration,title_length,giveaway
0,Do Men Lie About Their Height?,34942466,2285770,47.0,30,0
1,"1,000 Blind People See For The First Time",115014658,8744378,481.0,41,0
2,I Survived 50 Hours In Antarctica,97698911,3995250,730.0,33,0
3,Hydraulic Press Vs Lamborghini,121314946,4551791,625.0,30,0
4,Would You Fly To Paris For A Baguette?,571877950,29276328,48.0,38,0
5,"100 Kids Vs 100 Adults For $500,000",119534614,3265379,923.0,35,1
6,Gordon Ramsay Tries Most Expensive Chocolate Bar!,137331166,8981794,41.0,49,0
7,"Last To Take Hand Off Jet, Keeps It!",93390693,3374119,937.0,36,0
8,Giving iPhones Instead Of Candy on Halloween,444698652,18438834,40.0,44,0
9,"$1 vs $1,000,000 Hotel Room!",172426574,5151239,941.0,28,1
10,"The Rock Vs MrBeast For $100,000",225125086,16631320,55.0,32,1
11,"Survive 100 Days In Circle, Win $500,000",140357983,3934579,1030.0,40,1
12,I Hunted 100 People!,77298336,2649834,743.0,20,0
13,I Survived A Plane Crash,92579841,3059173,494.0,24,0
14,"I Gave My 100,000,000th Subscriber An Island",115475969,4925237,931.0,44,0
15,"100 Girls Vs 100 Boys For $500,000",124073498,3752601,1013.0,34,1
16,I Didn’t Eat Food For 30 Days,71086159,3081651,784.0,29,0
17,I Built Willy Wonka's Chocolate Factory!,164765674,5362222,1021.0,40,0
18,"$10,000 Every Day You Survive Prison",146768719,4461607,839.0,36,1
19,"Would You Swim With Sharks For $100,000?",121503750,3495635,541.0,40,1
20,World’s Most Dangerous Escape Room!,177479509,4705608,481.0,35,0
21,"Extreme $1,000,000 Hide And Seek",83908973,3404859,729.0,32,1
22,"$1,000,000 Influencer Tournament!",69674272,2940661,725.0,33,1
23,I Got Hunted By The Military,135576551,3801031,662.0,28,0
24,"$456,000 Squid Game In Real Life!",373402278,15575469,1542.0,33,1
25,I Cleaned The World’s Dirtiest Beach #TeamSeas,89965147,5107978,295.0,46,0
26,"Last To Take Hand Off Lamborghini, Keeps It",129161115,4091404,943.0,43,0
27,"First To Rob Bank Wins $100,000",117080583,3471776,482.0,31,1
28,"Extreme $500,000 Game Of Tag!",112619125,3763819,760.0,29,1
29,"Last To Leave Circle Wins $500,000",265524223,5567110,1166.0,34,1
